Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%)
2024-06-18 13:39:26,21.36,2.82119504772613,2, 0
2024-06-18 13:39:28,4.03,2.82021730362621,98, 61
2024-06-18 13:39:30,6.66,2.8202661908312,98, 55
2024-06-18 13:39:32,6.87,2.82027841263245,98, 51
2024-06-18 13:39:35,6.77,2.82030285623495,98, 44
2024-06-18 13:39:37,6.73,2.82030285623495,98, 45
2024-06-18 13:39:39,6.01,2.8203150780362,98, 48
2024-06-18 13:39:41,5.87,2.82032729983745,98, 48
2024-06-18 13:39:43,6.09,2.82032729983745,98, 52
2024-06-18 13:39:45,3.20,2.82032729983745,98, 55
2024-06-18 13:39:47,3.28,2.82032729983745,98, 57
2024-06-18 13:39:50,3.80,2.82032729983745,98, 57
2024-06-18 13:39:52,3.55,2.82032729983745,98, 57
2024-06-18 13:39:54,6.66,2.82032729983745,98, 59
2024-06-18 13:39:56,6.52,2.8203884088437,98, 58
2024-06-18 13:39:58,6.49,2.8203884088437,98, 61
